"","Year Month","Hour","Victimisations","Territorial Authority","Area Unit","Crimes type","ANZSOC Division","ANZSOC Group"
"49","1/06/15",16,1,"Christchurch City.","Oaklands East.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"50","1/08/15",99,1,"Christchurch City.","Avon-Heathcote Estuary.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"51","1/07/15",14,1,"Waimakariri District.","Rangiora North.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"52","1/06/15",16,1,"Christchurch City.","Belfast.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"53","1/06/15",17,1,"Christchurch City.","Bishopdale North.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"54","1/06/15",21,1,"Christchurch City.","Avon Loop.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"55","1/06/15",21,1,"Christchurch City.","Sockburn.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"56","1/07/15",15,1,"Christchurch City.","Cathedral Square.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"57","1/03/15",11,1,"Christchurch City.","Cathedral Square.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"58","1/03/15",19,1,"Christchurch City.","Sydenham.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"59","1/07/15",21,1,"Christchurch City.","Middleton.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"60","1/07/15",22,1,"Christchurch City.","St Albans West.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"61","1/07/15",11,1,"Christchurch City.","Richmond North.","violent crimes","Acts Intended to Cause Injury","Serious Assault Not Resulting in Injury"
"62","1/06/15",11,1,"Christchurch City.","Heathcote Valley.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"63","1/06/15",11,1,"Christchurch City.","Paparua.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"64","1/06/15",16,1,"Waimakariri District.","Kaiapoi North East.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"65","1/08/15",12,1,"Christchurch City.","Barrington North.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"66","1/04/15",99,1,"Waitaki District.","Aviemore.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"67","1/04/15",99,1,"Waitaki District.","Aviemore.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"68","1/03/15",99,1,"Christchurch City.","Barrington North.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"69","1/03/15",99,1,"Selwyn District.","Malvern.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"70","1/03/15",11,1,"Christchurch City.","Ferrymead.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"71","1/03/15",15,1,"Christchurch City.","New Brighton.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"72","1/05/15",15,1,"Christchurch City.","Yaldhurst.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"73","1/05/15",18,1,"Waimakariri District.","Sefton.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"74","1/05/15",3,1,"Christchurch City.","North Beach.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"75","1/05/15",99,1,"Christchurch City.","Aranui.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"76","1/02/15",99,1,"Christchurch City.","Riccarton.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"77","1/02/15",0,1,"Timaru District.","Marchwiel.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"78","1/02/15",16,2,"Christchurch City.","Cashmere West.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"79","1/02/15",99,1,"Christchurch City.","Shirley East.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"80","1/02/15",22,1,"Christchurch City.","Spreydon.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"81","1/04/15",13,1,"Christchurch City.","Linwood East.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"82","1/04/15",99,1,"Waimakariri District.","Kaiapoi South.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"83","1/04/15",13,1,"Selwyn District.","West Melton.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"84","1/04/15",11,1,"Christchurch City.","Casebrook.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"85","1/04/15",12,1,"Christchurch City.","Oaklands East.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"86","1/03/15",23,1,"Christchurch City.","Shirley East.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"87","1/03/15",14,1,"Christchurch City.","Shirley East.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"88","1/03/15",99,1,"Ashburton District.","Ashburton Central East.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"89","1/03/15",10,1,"Selwyn District.","Malvern.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"90","1/07/15",15,1,"Christchurch City.","Linwood East.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"91","1/07/15",15,2,"Christchurch City.","Northcote.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"92","1/07/15",15,1,"Christchurch City.","Shirley East.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"93","1/05/15",99,1,"Christchurch City.","Middleton.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"94","1/05/15",99,1,"Hurunui District.","Leithfield.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"95","1/05/15",99,1,"Hurunui District.","Amuri.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"96","1/05/15",99,1,"Waimakariri District.","Mandeville.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"97","1/05/15",99,1,"Waimakariri District.","Pegasus.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"98","1/08/15",14,1,"Christchurch City.","Sydenham.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"99","1/08/15",15,1,"Christchurch City.","Ferrymead.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"100","1/08/15",15,1,"Christchurch City.","Shirley West.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"101","1/07/15",12,1,"Christchurch City.","St Martins.","violent crimes","Acts Intended to Cause Injury","Serious Assault Not Resulting in Injury"
"102","1/07/15",14,1,"Christchurch City.","Mona Vale.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"103","1/07/15",22,1,"Christchurch City.","Aranui.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"104","1/07/15",99,1,"Christchurch City.","Paparua.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"105","1/06/15",17,1,"Christchurch City.","Riccarton.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"106","1/06/15",20,1,"Christchurch City.","Upper Riccarton.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"107","1/06/15",9,1,"Christchurch City.","Hornby South.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"108","1/06/15",9,1,"Christchurch City.","Paparua.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"109","1/03/15",16,1,"Christchurch City.","Cathedral Square.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"110","1/03/15",2,1,"Christchurch City.","Cathedral Square.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"111","1/03/15",99,1,"Ashburton District.","Allenton East.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"112","1/03/15",99,1,"Christchurch City.","Sydenham.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"113","1/07/15",15,1,"Christchurch City.","Hornby North.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"114","1/07/15",16,1,"Christchurch City.","Linwood East.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"115","1/07/15",16,1,"Christchurch City.","St Martins.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"116","1/07/15",16,1,"Christchurch City.","Hornby North.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"117","1/02/15",99,1,"Christchurch City.","Avon Loop.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"118","1/02/15",99,1,"Christchurch City.","Sydenham.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"119","1/02/15",99,1,"Christchurch City.","Papanui.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"120","1/02/15",17,1,"Ashburton District.","Rakaia.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"121","1/02/15",14,1,"Timaru District.","Washdyke.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"122","1/07/15",15,1,"Timaru District.","Fraser Park.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"123","1/07/15",4,1,"Christchurch City.","Merivale.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"124","1/07/15",0,1,"Christchurch City.","Cathedral Square.","violent crimes","Acts Intended to Cause Injury","Serious Assault Not Resulting in Injury"
"125","1/07/15",0,1,"Christchurch City.","Cathedral Square.","violent crimes","Acts Intended to Cause Injury","Common Assault"
