"","Year Month","Hour","Victimisations","Territorial Authority","Area Unit","Crimes type","ANZSOC Division","ANZSOC Group"
"6566","1/03/15",99,1,"Timaru District.","Fraser Park.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6567","1/03/15",99,1,"Timaru District.","Temuka.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6568","1/02/15",11,1,"Christchurch City.","St Albans West.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6569","1/02/15",12,1,"Christchurch City.","Sydenham.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6570","1/02/15",13,1,"Christchurch City.","Cathedral Square.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6571","1/02/15",15,1,"Christchurch City.","Cashmere West.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6572","1/02/15",15,1,"Christchurch City.","Sockburn.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6573","1/02/15",17,1,"Christchurch City.","Yaldhurst.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6574","1/02/15",18,1,"Christchurch City.","Sydenham.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6575","1/02/15",2,1,"Christchurch City.","Aranui.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6576","1/03/15",99,1,"Timaru District.","Temuka.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6577","1/03/15",1,1,"Christchurch City.","Little River.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6578","1/03/15",6,1,"Christchurch City.","Cathedral Square.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6579","1/03/15",16,1,"Christchurch City.","Travis Wetland.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"6580","1/03/15",2,1,"Kaikoura District.","Kaikoura Township.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"6581","1/03/15",11,1,"Christchurch City.","Sydenham.","violent crimes","Acts Intended to Cause Injury","Serious Assault Resulting in Injury"
"6582","1/03/15",11,1,"Christchurch City.","Sawyers Arms.","violent crimes","Acts Intended to Cause Injury","Serious Assault Resulting in Injury"
"6583","1/03/15",18,1,"Christchurch City.","Redwood North.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"6584","1/03/15",23,1,"Christchurch City.","Styx Mill.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"6585","1/02/15",23,1,"Christchurch City.","Riccarton South.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6586","1/02/15",6,1,"Christchurch City.","Fendalton.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6587","1/02/15",6,1,"Christchurch City.","Yaldhurst.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6588","1/02/15",99,1,"Selwyn District.","West Melton.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6589","1/06/15",12,1,"Selwyn District.","West Melton.","violent crimes","Acts Intended to Cause Injury","Serious Assault Not Resulting in Injury"
"6590","1/06/15",10,1,"Christchurch City.","Linwood North.","violent crimes","Robbery, Extortion and Related Offences","Aggravated Robbery"
"6591","1/06/15",16,1,"Christchurch City.","Barrington North.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"6592","1/06/15",99,1,"Christchurch City.","Addington.","property crimes","Theft and Related Offences","Illegal Use of Property (Except Motor Vehicles)"
"6593","1/04/15",99,1,"Christchurch City.","Linwood.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6594","1/04/15",99,1,"Christchurch City.","Phillipstown.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6595","1/04/15",99,2,"Christchurch City.","Phillipstown.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6596","1/04/15",99,2,"Christchurch City.","Phillipstown.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6597","1/04/15",99,1,"Christchurch City.","Ensors.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6598","1/04/15",99,1,"Christchurch City.","Rawhiti.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6599","1/04/15",99,1,"Christchurch City.","South Brighton.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6600","1/04/15",99,1,"Christchurch City.","South Brighton.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6601","1/04/15",99,1,"Christchurch City.","Heathcote Valley.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6602","1/04/15",99,1,"Christchurch City.","Woolston West.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6603","1/04/15",99,1,"Christchurch City.","Ensors.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6604","1/04/15",99,1,"Christchurch City.","Sumner.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6605","1/04/15",99,1,"Christchurch City.","Avon Loop.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6606","1/04/15",99,1,"Christchurch City.","Richmond South.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6607","1/04/15",99,1,"Christchurch City.","Edgeware.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6608","1/04/15",99,1,"Christchurch City.","Travis Wetland.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6609","1/04/15",99,1,"Christchurch City.","Addington.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6610","1/04/15",99,1,"Christchurch City.","Halswell Domain.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6611","1/04/15",99,1,"Christchurch City.","Wigram.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6612","1/04/15",99,1,"Christchurch City.","Barrington North.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6613","1/04/15",99,1,"Christchurch City.","Barrington South.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6614","1/04/15",99,2,"Christchurch City.","Spreydon.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6615","1/04/15",99,1,"Christchurch City.","Ilam.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6616","1/04/15",99,1,"Christchurch City.","Avonhead West.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6617","1/04/15",99,1,"Waimakariri District.","Rangiora East.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6618","1/04/15",99,1,"Waimakariri District.","Rangiora Central.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6619","1/04/15",99,1,"Ashburton District.","Allenton East.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6620","1/04/15",99,1,"Ashburton District.","Methven.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6621","1/04/15",99,3,"Timaru District.","Waimataitai.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6622","1/08/15",99,1,"Kaikoura District.","Kaikoura Rural.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6623","1/08/15",99,1,"Waimakariri District.","Rangiora Central.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6624","1/08/15",99,1,"Ashburton District.","Hampstead.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6625","1/08/15",99,1,"Ashburton District.","Methven.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6626","1/08/15",99,1,"Selwyn District.","Rolleston South West.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6627","1/04/15",99,1,"Timaru District.","Marchwiel.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6628","1/04/15",99,1,"Timaru District.","Highfield.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6629","1/04/15",99,1,"Timaru District.","Glenwood.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6630","1/04/15",99,2,"Timaru District.","Gleniti.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6631","1/04/15",99,1,"Timaru District.","Gleniti.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6632","1/08/15",99,1,"Christchurch City.","Rawhiti.","property crimes","Theft and Related Offences","Theft From a Person (Excluding By Force)"
"6633","1/08/15",11,1,"Christchurch City.","Burnside.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6634","1/08/15",12,1,"Christchurch City.","Avonside.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6635","1/08/15",12,1,"Christchurch City.","Redwood South.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6636","1/04/15",99,1,"Timaru District.","Gleniti.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6637","1/04/15",99,1,"Timaru District.","Fraser Park.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6638","1/04/15",99,1,"Timaru District.","Fraser Park.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6639","1/04/15",99,1,"Timaru District.","Seaview.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6640","1/04/15",99,1,"Timaru District.","Watlington.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6641","1/08/15",12,1,"Christchurch City.","Hornby South.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6642","1/08/15",14,1,"Christchurch City.","Barrington South.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6643","1/08/15",14,1,"Christchurch City.","Hillmorton.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6644","1/08/15",14,1,"Ashburton District.","Ashburton Central East.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6645","1/04/15",99,2,"Timaru District.","Watlington.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6646","1/04/15",99,2,"Timaru District.","Watlington.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6647","1/04/15",99,2,"Timaru District.","Parkside.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"6648","1/04/15",4,1,"Selwyn District.","West Melton.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"6649","1/04/15",15,1,"Christchurch City.","Linwood North.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6650","1/08/15",18,1,"Christchurch City.","Sydenham.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6651","1/08/15",23,1,"Christchurch City.","Yaldhurst.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6652","1/08/15",8,1,"Christchurch City.","Merrin.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6653","1/08/15",12,1,"Christchurch City.","Mona Vale.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"6654","1/04/15",12,1,"Christchurch City.","Addington.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6655","1/04/15",99,1,"Christchurch City.","Ilam.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6656","1/04/15",99,1,"Timaru District.","Marchwiel.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6657","1/04/15",99,1,"Christchurch City.","Ensors.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6658","1/08/15",16,1,"Christchurch City.","Hillmorton.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6659","1/08/15",22,1,"Christchurch City.","Holmwood.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6660","1/08/15",5,1,"Christchurch City.","Richmond North.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6661","1/08/15",20,1,"Waimakariri District.","Kaiapoi South.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6662","1/08/15",0,1,"Christchurch City.","Hagley Park.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6663","1/08/15",17,1,"Christchurch City.","Woolston South.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6664","1/08/15",17,1,"Ashburton District.","Chertsey.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6665","1/08/15",6,1,"Christchurch City.","Rawhiti.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6666","1/04/15",99,1,"Christchurch City.","Avonside.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6667","1/04/15",99,1,"Christchurch City.","Hendersons Basin.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6668","1/04/15",99,1,"Christchurch City.","Jellie Park.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6669","1/04/15",99,1,"Christchurch City.","Strowan.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6670","1/04/15",99,1,"Christchurch City.","Merivale.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6671","1/04/15",99,1,"Hurunui District.","Hurunui.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6672","1/04/15",99,1,"Waimakariri District.","Oxford.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6673","1/04/15",99,1,"Ashburton District.","Methven.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6674","1/04/15",99,1,"Christchurch City.","Lyttelton.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6675","1/08/15",11,1,"Christchurch City.","Hagley Park.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6676","1/08/15",99,1,"Waimate District.","Waimate.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6677","1/08/15",99,1,"Christchurch City.","Mt Pleasant.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6678","1/08/15",99,1,"Waimakariri District.","Sefton.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6679","1/08/15",99,1,"Christchurch City.","Sawyers Arms.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6680","1/08/15",99,1,"Christchurch City.","Cathedral Square.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6681","1/08/15",99,1,"Christchurch City.","Ensors.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6682","1/08/15",99,1,"Christchurch City.","Sydenham.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6683","1/08/15",99,1,"Christchurch City.","Mona Vale.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6684","1/08/15",99,1,"Waimakariri District.","Clarkville.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6685","1/08/15",99,1,"Selwyn District.","Springston.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6686","1/08/15",99,1,"Christchurch City.","Northcote.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6687","1/08/15",99,1,"Christchurch City.","Edgeware.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6688","1/08/15",99,1,"Christchurch City.","Cashmere West.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6689","1/04/15",99,1,"Christchurch City.","Diamond Harbour.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6690","1/04/15",99,1,"Timaru District.","Maori Park.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6691","1/04/15",99,1,"Timaru District.","Glenwood.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6692","1/04/15",99,1,"Christchurch City.","North Beach.","property crimes","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C."
"6693","1/04/15",9,1,"Timaru District.","Timaru Gardens.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6694","1/08/15",99,1,"Christchurch City.","Hagley Park.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6695","1/08/15",99,1,"Christchurch City.","Linwood East.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6696","1/08/15",99,1,"Christchurch City.","Linwood East.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6697","1/08/15",99,1,"Christchurch City.","Barrington North.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6698","1/04/15",1,1,"Christchurch City.","Upper Riccarton.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6699","1/04/15",12,1,"Christchurch City.","Avonside.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6700","1/04/15",12,1,"Christchurch City.","Addington.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6701","1/04/15",13,1,"Christchurch City.","Edgeware.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6702","1/04/15",14,1,"Christchurch City.","Avon Loop.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6703","1/04/15",14,1,"Christchurch City.","Holmwood.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6704","1/04/15",15,1,"Christchurch City.","Phillipstown.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6705","1/04/15",16,1,"Christchurch City.","Rawhiti.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6706","1/04/15",18,1,"Christchurch City.","Islington.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6707","1/04/15",2,1,"Christchurch City.","Riccarton.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6708","1/04/15",21,1,"Christchurch City.","Rawhiti.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6709","1/04/15",5,1,"Christchurch City.","Linwood.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6710","1/04/15",9,1,"Christchurch City.","Linwood North.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6711","1/04/15",99,1,"Christchurch City.","Sumner.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6712","1/04/15",99,1,"Christchurch City.","Linwood.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6713","1/04/15",99,1,"Christchurch City.","Linwood.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6714","1/05/15",99,1,"Christchurch City.","Hornby North.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6715","1/05/15",99,1,"Christchurch City.","Hillmorton.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6716","1/05/15",99,1,"Christchurch City.","Hillmorton.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6717","1/05/15",99,1,"Christchurch City.","Somerfield.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6718","1/04/15",99,1,"Christchurch City.","Bromley.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6719","1/04/15",99,1,"Christchurch City.","Woolston South.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6720","1/04/15",99,1,"Christchurch City.","Richmond North.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6721","1/04/15",99,1,"Christchurch City.","St Albans West.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6722","1/05/15",99,1,"Waimakariri District.","Oxford.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6723","1/05/15",99,1,"Waimakariri District.","Rangiora North.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6724","1/05/15",99,1,"Ashburton District.","Netherby.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6725","1/05/15",99,1,"Timaru District.","Marchwiel.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6726","1/05/15",99,1,"Timaru District.","Geraldine.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6727","1/04/15",99,1,"Christchurch City.","Northcote.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6728","1/04/15",99,1,"Christchurch City.","Waimairi Beach.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6729","1/04/15",99,1,"Christchurch City.","Hornby North.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6730","1/04/15",99,1,"Christchurch City.","Hillmorton.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6731","1/05/15",0,1,"Christchurch City.","Avon Loop.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6732","1/05/15",12,1,"Waimakariri District.","Woodend.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6733","1/05/15",13,1,"Christchurch City.","Sockburn.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6734","1/05/15",16,1,"Christchurch City.","Parklands.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6735","1/05/15",18,1,"Kaikoura District.","Kaikoura Township.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6736","1/04/15",99,1,"Christchurch City.","Merivale.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6737","1/04/15",99,1,"Christchurch City.","Hawthornden.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6738","1/04/15",99,1,"Christchurch City.","Sockburn.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6739","1/04/15",99,1,"Christchurch City.","Broomfield.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6740","1/05/15",21,1,"Christchurch City.","Linwood.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6741","1/05/15",22,1,"Christchurch City.","Travis.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6742","1/05/15",9,1,"Christchurch City.","Linwood East.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6743","1/05/15",9,1,"Christchurch City.","Avonside.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6744","1/05/15",99,1,"Christchurch City.","Bexley.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6745","1/05/15",99,1,"Christchurch City.","Shirley East.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6746","1/05/15",99,1,"Christchurch City.","Upper Riccarton.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6747","1/05/15",99,1,"Christchurch City.","Phillipstown.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6748","1/05/15",99,1,"Christchurch City.","Travis.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6749","1/05/15",99,1,"Christchurch City.","Bexley.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
"6750","1/05/15",99,1,"Christchurch City.","Ensors.","property crimes","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter"
