"","Date","Time","eventtype","longitude","latitude","magnitude","depth"
"62",2015-12-06," 13:50:59",NA,172.2028823,-43.31106535,2.273276395,9.921875
"63",2015-12-06," 04:27:45",NA,172.6288691,-43.5887164,1.862310236,8.984375
"64",2015-12-06," 02:19:25",NA,171.9814606,-43.20786169,2.388856104,10.859375
"65",2015-12-05," 16:17:00",NA,172.7564319,-43.60570751,1.804122994,6.640625
"66",2015-12-05," 14:02:08","earthquake",172.8088684,-43.47874069,2.308881712,5.16857481
"67",2015-12-04," 14:00:57",NA,173.0793236,-42.41227575,2.6504692,52.8125
"68",2015-12-03," 15:16:19",NA,172.5692463,-42.57609788,2.793043834,14.84375
"69",2015-12-03," 00:03:51","earthquake",172.3604718,-43.66288188,1.693206765,9.453125
"70",2015-12-01," 23:27:03",NA,172.3058006,-42.97504998,1.775028676,10.859375
"71",2015-12-01," 22:11:44",NA,172.5741622,-43.62722646,2.195438838,9.921875
"72",2015-12-01," 08:45:25",NA,172.1792147,-43.5408296,1.712525105,9.921875
"73",2015-11-30," 19:04:27","earthquake",172.1257663,-43.45246906,3.02594707,7.109375
"74",2015-11-30," 02:29:56",NA,172.8095072,-43.43110086,2.240482539,10.15625
"75",2015-11-29," 07:47:27",NA,172.2906063,-43.59243143,1.891696256,9.921875
"76",2015-11-28," 21:35:26",NA,171.8646131,-42.97403332,2.253544942,9.921875
"77",2015-11-28," 17:58:15",NA,173.2362611,-42.29499423,2.369291168,20.46875
"78",2015-11-25," 11:55:36",NA,172.1468245,-43.50984727,1.924068547,9.921875
"79",2015-11-24," 19:20:31","earthquake",172.7739105,-43.45901489,2.595942474,8.120167732
"80",2015-11-24," 19:09:53","earthquake",172.695701,-43.48168879,3.485096386,6.7578125
"81",2015-11-24," 11:21:04","earthquake",172.7699585,-43.52680588,2.099101461,8.311733246
"82",2015-11-24," 01:13:25",NA,173.8062992,-42.15973551,2.237939472,41.5625
"83",2015-11-23," 23:41:27",NA,171.8808701,-43.2375424,2.038216108,11.09375
"84",2015-11-23," 15:05:51",NA,173.3177474,-42.02699085,2.725972144,21.40625
"85",2015-11-22," 17:52:49","earthquake",173.6317872,-42.16132208,2.695414333,41.5625
